"Month_Num","Date","YEAR","Month","Precipitation"
1,1901-01-01,1901,"JAN",235.7
2,1901-02-01,1901,"FEB",223.9
3,1901-03-01,1901,"MAR",241
4,1901-04-01,1901,"APR",181.4
5,1901-05-01,1901,"MAY",129
6,1901-06-01,1901,"JUN",81.9
7,1901-07-01,1901,"JUL",73.6
8,1901-08-01,1901,"AUG",58.7
9,1901-09-01,1901,"SEP",77.1
10,1901-10-01,1901,"OCT",116.6
11,1901-11-01,1901,"NOV",149.3
12,1901-12-01,1901,"DEC",211.5
1,1902-01-01,1902,"JAN",218.1
2,1902-02-01,1902,"FEB",216.5
3,1902-03-01,1902,"MAR",241
4,1902-04-01,1902,"APR",179.1
5,1902-05-01,1902,"MAY",127.7
6,1902-06-01,1902,"JUN",82.9
7,1902-07-01,1902,"JUL",65.1
8,1902-08-01,1902,"AUG",66.5
9,1902-09-01,1902,"SEP",77.1
10,1902-10-01,1902,"OCT",124.8
11,1902-11-01,1902,"NOV",158
12,1902-12-01,1902,"DEC",207.2
1,1903-01-01,1903,"JAN",225.6
2,1903-02-01,1903,"FEB",214.2
3,1903-03-01,1903,"MAR",226.9
4,1903-04-01,1903,"APR",176.1
5,1903-05-01,1903,"MAY",130.8
6,1903-06-01,1903,"JUN",81.5
7,1903-07-01,1903,"JUL",64.9
8,1903-08-01,1903,"AUG",56.4
9,1903-09-01,1903,"SEP",76
10,1903-10-01,1903,"OCT",126.2
11,1903-11-01,1903,"NOV",150.8
12,1903-12-01,1903,"DEC",203.8
1,1904-01-01,1904,"JAN",230
2,1904-02-01,1904,"FEB",213.6
3,1904-03-01,1904,"MAR",224.7
4,1904-04-01,1904,"APR",177.8
5,1904-05-01,1904,"MAY",129.8
6,1904-06-01,1904,"JUN",82.9
7,1904-07-01,1904,"JUL",66.7
8,1904-08-01,1904,"AUG",59
9,1904-09-01,1904,"SEP",77.5
10,1904-10-01,1904,"OCT",131.3
11,1904-11-01,1904,"NOV",148.8
12,1904-12-01,1904,"DEC",198.9
1,1905-01-01,1905,"JAN",228.9
2,1905-02-01,1905,"FEB",216.1
3,1905-03-01,1905,"MAR",244.5
4,1905-04-01,1905,"APR",177.8
5,1905-05-01,1905,"MAY",136.8
6,1905-06-01,1905,"JUN",82.6
7,1905-07-01,1905,"JUL",68.6
8,1905-08-01,1905,"AUG",60.3
9,1905-09-01,1905,"SEP",80.1
10,1905-10-01,1905,"OCT",122.9
11,1905-11-01,1905,"NOV",153
12,1905-12-01,1905,"DEC",204.7
1,1906-01-01,1906,"JAN",233.6
2,1906-02-01,1906,"FEB",217
3,1906-03-01,1906,"MAR",233
4,1906-04-01,1906,"APR",183.8
5,1906-05-01,1906,"MAY",131.5
6,1906-06-01,1906,"JUN",83
7,1906-07-01,1906,"JUL",63.6
8,1906-08-01,1906,"AUG",55.7
9,1906-09-01,1906,"SEP",75.1
10,1906-10-01,1906,"OCT",116.2
11,1906-11-01,1906,"NOV",144.8
12,1906-12-01,1906,"DEC",201
1,1907-01-01,1907,"JAN",222.2
2,1907-02-01,1907,"FEB",211.7
3,1907-03-01,1907,"MAR",224.3
4,1907-04-01,1907,"APR",187.8
5,1907-05-01,1907,"MAY",131
6,1907-06-01,1907,"JUN",83.7
7,1907-07-01,1907,"JUL",68.2
8,1907-08-01,1907,"AUG",60.6
9,1907-09-01,1907,"SEP",77.8
10,1907-10-01,1907,"OCT",118
11,1907-11-01,1907,"NOV",157.5
12,1907-12-01,1907,"DEC",201.8
1,1908-01-01,1908,"JAN",230.2
2,1908-02-01,1908,"FEB",214
3,1908-03-01,1908,"MAR",223.8
4,1908-04-01,1908,"APR",187.1
5,1908-05-01,1908,"MAY",133
6,1908-06-01,1908,"JUN",82
7,1908-07-01,1908,"JUL",66.4
8,1908-08-01,1908,"AUG",54.1
9,1908-09-01,1908,"SEP",73.8
10,1908-10-01,1908,"OCT",127.9
11,1908-11-01,1908,"NOV",163.1
12,1908-12-01,1908,"DEC",194.8
1,1909-01-01,1909,"JAN",228
2,1909-02-01,1909,"FEB",218.4
3,1909-03-01,1909,"MAR",234.8
4,1909-04-01,1909,"APR",186.1
5,1909-05-01,1909,"MAY",132.6
6,1909-06-01,1909,"JUN",86.1
7,1909-07-01,1909,"JUL",66.5
8,1909-08-01,1909,"AUG",57.4
9,1909-09-01,1909,"SEP",76.9
10,1909-10-01,1909,"OCT",122.4
11,1909-11-01,1909,"NOV",148.2
12,1909-12-01,1909,"DEC",202.3
1,1910-01-01,1910,"JAN",220.6
2,1910-02-01,1910,"FEB",217.2
3,1910-03-01,1910,"MAR",237.6
4,1910-04-01,1910,"APR",185.4
5,1910-05-01,1910,"MAY",131.7
6,1910-06-01,1910,"JUN",84.9
7,1910-07-01,1910,"JUL",72
8,1910-08-01,1910,"AUG",54.5
9,1910-09-01,1910,"SEP",76.8
10,1910-10-01,1910,"OCT",128.6
11,1910-11-01,1910,"NOV",152.8
12,1910-12-01,1910,"DEC",202.9
1,1911-01-01,1911,"JAN",217.7
2,1911-02-01,1911,"FEB",205.1
3,1911-03-01,1911,"MAR",252.1
4,1911-04-01,1911,"APR",168.4
5,1911-05-01,1911,"MAY",123.3
6,1911-06-01,1911,"JUN",84.9
7,1911-07-01,1911,"JUL",65.3
8,1911-08-01,1911,"AUG",58.9
9,1911-09-01,1911,"SEP",84
10,1911-10-01,1911,"OCT",123.3
11,1911-11-01,1911,"NOV",146.2
12,1911-12-01,1911,"DEC",197.4
1,1912-01-01,1912,"JAN",233.4
2,1912-02-01,1912,"FEB",234.1
3,1912-03-01,1912,"MAR",250.9
4,1912-04-01,1912,"APR",183.4
5,1912-05-01,1912,"MAY",134.5
6,1912-06-01,1912,"JUN",87.8
7,1912-07-01,1912,"JUL",63.4
8,1912-08-01,1912,"AUG",55.9
9,1912-09-01,1912,"SEP",85.6
10,1912-10-01,1912,"OCT",126.2
11,1912-11-01,1912,"NOV",151.1
12,1912-12-01,1912,"DEC",192.6
1,1913-01-01,1913,"JAN",229.2
2,1913-02-01,1913,"FEB",228.7
3,1913-03-01,1913,"MAR",232.1
4,1913-04-01,1913,"APR",188.3
5,1913-05-01,1913,"MAY",139.2
6,1913-06-01,1913,"JUN",84.2
7,1913-07-01,1913,"JUL",66.8
8,1913-08-01,1913,"AUG",59.7
9,1913-09-01,1913,"SEP",84
10,1913-10-01,1913,"OCT",117.4
11,1913-11-01,1913,"NOV",161
12,1913-12-01,1913,"DEC",192.7
1,1914-01-01,1914,"JAN",267.3
2,1914-02-01,1914,"FEB",200.1
3,1914-03-01,1914,"MAR",208.9
4,1914-04-01,1914,"APR",172
5,1914-05-01,1914,"MAY",117.7
6,1914-06-01,1914,"JUN",91.1
7,1914-07-01,1914,"JUL",69.4
8,1914-08-01,1914,"AUG",63.6
9,1914-09-01,1914,"SEP",70.3
10,1914-10-01,1914,"OCT",122.7
11,1914-11-01,1914,"NOV",137.7
12,1914-12-01,1914,"DEC",197.5
1,1915-01-01,1915,"JAN",199.1
2,1915-02-01,1915,"FEB",168.9
3,1915-03-01,1915,"MAR",209.9
4,1915-04-01,1915,"APR",162.1
5,1915-05-01,1915,"MAY",119.8
6,1915-06-01,1915,"JUN",83.9
7,1915-07-01,1915,"JUL",62.9
8,1915-08-01,1915,"AUG",56.9
9,1915-09-01,1915,"SEP",67.8
10,1915-10-01,1915,"OCT",115.9
11,1915-11-01,1915,"NOV",139.3
12,1915-12-01,1915,"DEC",216.5
1,1916-01-01,1916,"JAN",215
2,1916-02-01,1916,"FEB",230.1
3,1916-03-01,1916,"MAR",256.1
4,1916-04-01,1916,"APR",195.6
5,1916-05-01,1916,"MAY",133.4
6,1916-06-01,1916,"JUN",85.8
7,1916-07-01,1916,"JUL",58.7
8,1916-08-01,1916,"AUG",50.3
9,1916-09-01,1916,"SEP",64.4
10,1916-10-01,1916,"OCT",124
11,1916-11-01,1916,"NOV",174.9
12,1916-12-01,1916,"DEC",227.1
1,1917-01-01,1917,"JAN",254.8
2,1917-02-01,1917,"FEB",244.6
3,1917-03-01,1917,"MAR",242.3
4,1917-04-01,1917,"APR",182.2
5,1917-05-01,1917,"MAY",143.8
6,1917-06-01,1917,"JUN",87.2
7,1917-07-01,1917,"JUL",64.4
8,1917-08-01,1917,"AUG",54.4
9,1917-09-01,1917,"SEP",71
10,1917-10-01,1917,"OCT",119.8
11,1917-11-01,1917,"NOV",163.4
12,1917-12-01,1917,"DEC",212.7
1,1918-01-01,1918,"JAN",226.2
2,1918-02-01,1918,"FEB",194.6
3,1918-03-01,1918,"MAR",233.3
4,1918-04-01,1918,"APR",189.2
5,1918-05-01,1918,"MAY",143.5
6,1918-06-01,1918,"JUN",80.8
7,1918-07-01,1918,"JUL",74.3
8,1918-08-01,1918,"AUG",58
9,1918-09-01,1918,"SEP",75.3
10,1918-10-01,1918,"OCT",139.2
11,1918-11-01,1918,"NOV",162
12,1918-12-01,1918,"DEC",205.8
1,1919-01-01,1919,"JAN",237.9
2,1919-02-01,1919,"FEB",235.8
3,1919-03-01,1919,"MAR",221.2
4,1919-04-01,1919,"APR",156.6
5,1919-05-01,1919,"MAY",120.7
6,1919-06-01,1919,"JUN",89.4
7,1919-07-01,1919,"JUL",64
8,1919-08-01,1919,"AUG",65.3
9,1919-09-01,1919,"SEP",79.9
10,1919-10-01,1919,"OCT",121.7
11,1919-11-01,1919,"NOV",144
12,1919-12-01,1919,"DEC",183.1
1,1920-01-01,1920,"JAN",215.6
2,1920-02-01,1920,"FEB",204
3,1920-03-01,1920,"MAR",254.1
4,1920-04-01,1920,"APR",197.5
5,1920-05-01,1920,"MAY",138.4
6,1920-06-01,1920,"JUN",88
7,1920-07-01,1920,"JUL",76
8,1920-08-01,1920,"AUG",63.4
9,1920-09-01,1920,"SEP",89.5
10,1920-10-01,1920,"OCT",122.5
11,1920-11-01,1920,"NOV",146.9
12,1920-12-01,1920,"DEC",204.6
1,1921-01-01,1921,"JAN",221.4
2,1921-02-01,1921,"FEB",226.2
3,1921-03-01,1921,"MAR",229.8
4,1921-04-01,1921,"APR",186.7
5,1921-05-01,1921,"MAY",140
6,1921-06-01,1921,"JUN",93.8
7,1921-07-01,1921,"JUL",74.9
8,1921-08-01,1921,"AUG",53.3
9,1921-09-01,1921,"SEP",80.3
10,1921-10-01,1921,"OCT",143.3
11,1921-11-01,1921,"NOV",183.5
12,1921-12-01,1921,"DEC",203.5
1,1922-01-01,1922,"JAN",226.1
2,1922-02-01,1922,"FEB",227.9
3,1922-03-01,1922,"MAR",237.1
4,1922-04-01,1922,"APR",188.8
5,1922-05-01,1922,"MAY",137.4
6,1922-06-01,1922,"JUN",90.4
7,1922-07-01,1922,"JUL",66.8
8,1922-08-01,1922,"AUG",64.6
9,1922-09-01,1922,"SEP",73.2
10,1922-10-01,1922,"OCT",126.4
11,1922-11-01,1922,"NOV",174.3
12,1922-12-01,1922,"DEC",195.4
1,1923-01-01,1923,"JAN",227.3
2,1923-02-01,1923,"FEB",245.7
3,1923-03-01,1923,"MAR",228.8
4,1923-04-01,1923,"APR",184.3
5,1923-05-01,1923,"MAY",137.7
6,1923-06-01,1923,"JUN",89.2
7,1923-07-01,1923,"JUL",62.3
8,1923-08-01,1923,"AUG",55.6
9,1923-09-01,1923,"SEP",87.6
10,1923-10-01,1923,"OCT",123.5
11,1923-11-01,1923,"NOV",142.7
12,1923-12-01,1923,"DEC",169.8
1,1924-01-01,1924,"JAN",257.9
2,1924-02-01,1924,"FEB",242.6
3,1924-03-01,1924,"MAR",289.4
4,1924-04-01,1924,"APR",201.3
5,1924-05-01,1924,"MAY",157.6
6,1924-06-01,1924,"JUN",99.6
7,1924-07-01,1924,"JUL",61.5
8,1924-08-01,1924,"AUG",45.3
9,1924-09-01,1924,"SEP",68.8
10,1924-10-01,1924,"OCT",134.1
11,1924-11-01,1924,"NOV",158.2
12,1924-12-01,1924,"DEC",244.8
1,1925-01-01,1925,"JAN",223.9
2,1925-02-01,1925,"FEB",191.9
3,1925-03-01,1925,"MAR",225.5
4,1925-04-01,1925,"APR",174.3
5,1925-05-01,1925,"MAY",127.4
6,1925-06-01,1925,"JUN",81.4
7,1925-07-01,1925,"JUL",70.9
8,1925-08-01,1925,"AUG",50.5
9,1925-09-01,1925,"SEP",86.2
10,1925-10-01,1925,"OCT",126.6
11,1925-11-01,1925,"NOV",144.7
12,1925-12-01,1925,"DEC",206.9
1,1926-01-01,1926,"JAN",238.4
2,1926-02-01,1926,"FEB",252.2
