"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","MAM","JJA","SON","DJF","ANN"
1901,52.4,53.5,47.4,33.1,36.1,34,16.7,28.1,28.4,40.7,55.5,33.1,116.6,78.8,124.6,143.9,459.1
1902,61.9,48.9,67.5,33.7,56.4,30.6,25.5,10.7,21.9,33.9,52,71.5,157.6,66.8,107.7,193.4,514.4
1903,52.3,69.5,66.1,66,27.9,37.2,21.3,27.2,24.3,39.1,51.1,82.1,160,85.7,114.5,201.2,564.1
1904,56.2,62.9,88.8,47.1,29,26.5,40.1,25.9,35.9,54.5,60.1,54.1,164.9,92.5,150.6,144.3,581.1
1905,42,48.2,80.2,48,52.5,29.2,28.4,21.8,31,73.4,39.4,67.3,180.7,79.4,143.8,170.3,561.4
1906,66.2,36.7,42,45.8,22.8,28.6,31.8,25.3,21.3,43,44,44,110.6,85.7,108.3,148.6,451.6
1907,54,50.7,77.4,56,21,25.3,16.3,21.6,35,35.7,44.2,66.9,154.4,63.2,114.8,156.6,504
1908,49.1,40.6,54.1,49.8,51.2,27,25.5,15.7,32,45.8,47.2,57.7,155.1,68.3,125,167.1,495.8
1909,45.2,64.3,28.8,40.8,17.4,20.5,18.9,19.7,47.1,39.4,45.4,45.6,86.9,59,131.9,165.3,432.8
1910,65.2,54.6,69.8,52.9,27,24.5,15.8,16.5,25.3,35.8,37,45.1,149.8,56.8,98.1,163.5,469.5
1911,52.4,66,40.2,40,57.4,17.1,24.6,24.2,29.6,51.1,64.4,88.3,137.6,65.8,145.1,226.5,555.2
1912,71.5,66.8,49,56.9,39.3,33.1,16.5,26,21.2,43.2,59.9,66.5,145.2,75.6,124.3,162.6,549.9
1913,36.1,60,67.9,58.6,45.6,23.1,23.5,39.7,33.7,44.7,62,42.3,172.1,86.3,140.4,168.6,537.1
1914,63.3,63,66.6,80.2,54.3,41.3,43.1,34.1,31.8,69.5,69.8,73.9,201,118.5,171.1,227.8,690.8
1915,73.6,80.3,61.8,68.9,41.3,17.1,18.9,16.9,22.9,51.8,40.3,61.5,172,52.9,115.1,163.4,555.3
1916,47.4,54.6,40.2,50.1,40.9,15.9,14.6,24.3,17.6,16.9,30.2,58.9,131.1,54.8,64.6,175.2,411.4
1917,41.3,75,50.4,54.7,16.3,29.9,26.1,10.5,37,34.9,29.1,38.2,121.3,66.5,101,183.6,443.3
1918,79.7,65.7,83.8,43.4,40,40.7,14.5,16.6,40.2,55.9,80.5,66.9,167.2,71.8,176.7,194.7,627.9
1919,61.8,66,101.5,57.2,60.2,46.4,42.6,13.1,34.2,54.4,57.8,82.5,218.8,102.2,146.4,229,677.7
1920,73.3,73.2,64.4,43.7,28.1,29.5,20.1,22.5,27.6,57.1,60.9,74.1,136.1,72,145.6,227,574.4
1921,78.2,74.7,90.3,32,26.6,24,12.3,19.7,39.8,68.3,29.5,70.9,148.9,56.1,137.6,194.1,566.4
1922,68.3,54.8,58.2,45.9,46.5,52.7,34.7,37.3,30.4,48.5,47.5,59.9,150.7,124.6,126.5,180.9,584.8
1923,61.6,59.5,57.2,46.1,28.4,34.3,18.9,42.1,35.3,59.7,52.3,71.2,131.7,95.3,147.2,168.2,566.5
1924,50.6,46.4,63.9,41.5,23.7,26.8,20.3,10.9,28.9,24.4,29.1,52.7,129.1,58.1,82.4,188.5,419.3
1925,55.7,80.1,56.3,50.7,54.2,14,33.9,16,43.9,40.7,60.1,65.7,161.3,63.9,144.7,182.4,571.3
1926,64.5,52.2,79.3,40.4,45.2,32.7,31.1,33.8,18,42.3,72,70.7,164.9,97.6,132.2,182.8,582.1
1927,74.2,37.9,70.6,36.9,24.8,28.2,21.3,18.1,37.2,38.3,56,56.1,132.4,67.7,131.5,175.3,499.7
1928,60,59.3,51.8,60.7,53,23.8,24.6,17.1,42.4,54.6,57.7,53.3,165.5,65.5,154.8,153.9,558.4
1929,57.4,43.2,48.3,32.5,19,32.9,19.8,18.2,37.8,60.4,35.3,51.2,99.8,70.8,133.5,172.6,455.8
1930,59.6,61.8,56.7,60.5,49.9,36.1,20.2,35.3,24.2,41.8,55.7,87.7,167.1,91.6,121.7,270.7,589.6
1931,122.8,60.1,50.9,43,25.1,22,26.2,32.9,20.7,57.8,53,65.5,118.9,81.1,131.5,177.7,580
1932,48.8,63.3,79.3,56.4,35.5,31.1,39,34.8,31.3,57.4,57.1,58.8,171.3,104.9,145.9,188.7,593
1933,64.9,65,75.4,44.7,44.4,18.7,10.8,14.7,38.7,55.9,30.5,54.8,164.6,44.3,125.1,140.8,518.6
1934,41.4,44.7,83.4,23.9,31.1,38.9,25.3,20.4,46.3,49.8,77.3,65.4,138.4,84.6,173.5,159,547.9
1935,42.1,51.5,52.6,23.8,26.2,31.8,17.6,22.6,17.2,47.2,55.8,87,102.5,71.9,120.2,196.9,475.4
1936,64.1,45.8,45.2,55.8,38.8,41,26.2,16.5,20,41.3,34,67.6,139.8,83.7,95.4,154.9,496.4
1937,33.9,53.4,54.4,32.7,32.1,29.7,18,25.8,28.7,27.1,34.3,37.2,119.2,73.5,90,165.2,407.2
1938,66.7,61.3,80.5,55.1,49,29.9,23.8,16.6,20.7,37.1,45.9,23.3,184.5,70.3,103.8,168.4,510
1939,73.9,71.1,76.7,32.2,44.2,38.2,17.6,30.5,48.2,90.6,40.7,78.8,153.1,86.4,179.5,205.1,642.8
1940,64.3,62.1,54.6,55.9,56.5,56.6,42.2,29.3,37.5,42.9,65.4,102,167,128.1,145.8,224.3,669.2
1941,53.6,68.7,75.1,57.3,45.4,24.8,37.4,41.9,10.7,31.4,63.7,57.3,177.8,104.1,105.8,193.3,567.3
1942,59.8,76.3,60.1,43.9,35.7,36.3,14.6,37.5,22.5,34.5,43.7,40.4,139.8,88.4,100.7,114.9,505.3
1943,28.4,46.2,91.3,31.2,52.1,44.5,35.3,12.1,21.2,60.8,61.7,46.3,174.5,91.9,143.6,184.2,530.9
1944,77.7,60.2,54.8,42.6,37.4,28.8,14.9,21.9,29,76.6,39.8,32.8,134.7,65.7,145.3,169.1,516.4
1945,53.3,83,69.9,42.2,28.1,11.9,22.5,27.8,45.6,41,48.2,63.1,140.2,62.2,134.9,189.7,536.7
1946,64.4,62.2,75.7,55.3,53.9,36.6,33,21.5,37.1,64.2,70,73.4,184.8,91.1,171.3,190.1,647.3
1947,58.6,58.1,72.2,63.1,37.6,38.6,20.7,16.7,31.6,40.9,42.1,28.9,172.9,76,114.6,155.6,509.3
1948,67.4,59.3,72.1,45.2,44.1,22.4,27.1,10.7,50.1,33.6,38.7,53.2,161.5,60.2,122.4,167.6,524
1949,59.9,54.5,90.5,29.8,42.3,37.3,26.6,20.7,31.6,37.6,48.4,56.8,162.6,84.6,117.6,151.5,536
1950,43.5,51.2,61.2,47.5,50,35.7,22,20.9,40.7,46.3,53.8,52.7,158.7,78.6,140.8,196,525.5
1951,72,71.3,45.4,22.9,45.2,31.1,15.2,19.5,20.2,37.8,69.5,73.4,113.6,65.7,127.5,180.8,523.5
1952,55.1,52.3,72,16.6,42.6,36.6,27.5,30.6,31.9,61.5,49.1,38.5,131.2,94.6,142.5,169.1,514.2
1953,84,46.6,70.9,43.9,44.9,36.6,15.5,21.2,38.3,55.4,64.2,65.8,159.7,73.3,157.9,195,587.4
1954,70.4,58.8,56.2,66.7,39.1,47.6,28.1,23.2,26.7,47.1,37.3,49.2,161.9,98.9,111.1,197.2,550.2
1955,56.7,91.3,69.2,54.5,33.7,28.8,25,16.8,20.9,40.9,49.9,47.4,157.4,70.7,111.6,197.6,535.3
1956,93.3,56.9,81.5,54.9,25.8,22.3,27.9,34.6,28.2,87.6,55.5,35.9,162.1,84.8,171.3,139.3,604.3
1957,56.4,47,49.2,55.5,49.6,41.4,22.1,22.7,29.8,51.2,59.6,101.7,154.4,86.3,140.6,252.3,586.3
1958,78.6,72.1,54,38.7,35,24.2,42.3,25.6,37.4,27.6,82.6,85.1,127.7,92,147.6,230.1,603.1
1959,74.8,70.2,75.6,68.7,43.7,40.1,29.2,30,21.5,71.2,60.8,66.1,188,99.2,153.4,175.2,651.8
1960,63.1,46.1,70.3,32.2,23.2,40.7,35,19.1,29.4,75,40.9,53.9,125.7,94.7,145.3,203.5,528.8
1961,73.8,75.8,84.5,47,43.2,24.3,25.2,25.9,28.3,66.6,62.2,59,174.7,75.3,157.1,152.5,615.6
1962,54.9,38.7,56,45.5,25.2,17.4,23.6,22.1,23.1,31.6,48.7,56.6,126.8,63.1,103.3,199.8,443.3
1963,70.4,72.8,88.9,44.5,26.9,35.9,28.1,31.6,48.1,52.4,68.6,82.6,160.3,95.5,169.2,178.3,650.8
1964,43.2,52.6,96.9,56.2,32.7,19.3,11.4,24.7,37.9,38.8,50.5,59.5,185.8,55.4,127.3,178,523.8
1965,59.9,58.5,30.6,57.7,31.5,37.1,28.1,32.8,23.4,52.6,73.6,91.4,119.8,98,149.6,242.6,577.1
1966,83.7,67.4,81,73.8,34.9,35.5,32.3,12.5,15.9,32.2,78.4,76.8,189.7,80.3,126.5,187.5,624.5
