"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","MAM","JJA","SON","DJF","ANN"
1901,235.7,223.9,241,181.4,129,81.9,73.6,58.7,77.1,116.6,149.3,211.5,551.5,214.2,343,646.1,1779.7
1902,218.1,216.5,241,179.1,127.7,82.9,65.1,66.5,77.1,124.8,158,207.2,547.8,214.6,360,647.1,1764.2
1903,225.6,214.2,226.9,176.1,130.8,81.5,64.9,56.4,76,126.2,150.8,203.8,533.8,202.8,353,647.4,1733.2
1904,230,213.6,224.7,177.8,129.8,82.9,66.7,59,77.5,131.3,148.8,198.9,532.3,208.6,357.7,643.9,1741.1
1905,228.9,216.1,244.5,177.8,136.8,82.6,68.6,60.3,80.1,122.9,153,204.7,559,211.6,356,655.3,1776.3
1906,233.6,217,233,183.8,131.5,83,63.6,55.7,75.1,116.2,144.8,201,548.4,202.3,336.1,634.9,1738.3
1907,222.2,211.7,224.3,187.8,131,83.7,68.2,60.6,77.8,118,157.5,201.8,543.1,212.5,353.3,646,1744.6
1908,230.2,214,223.8,187.1,133,82,66.4,54.1,73.8,127.9,163.1,194.8,543.8,202.5,364.8,641.2,1750.1
1909,228,218.4,234.8,186.1,132.6,86.1,66.5,57.4,76.9,122.4,148.2,202.3,553.5,210,347.5,640.1,1759.7
1910,220.6,217.2,237.6,185.4,131.7,84.9,72,54.5,76.8,128.6,152.8,202.9,554.8,211.5,358.2,625.7,1765.1
1911,217.7,205.1,252.1,168.4,123.3,84.9,65.3,58.9,84,123.3,146.2,197.4,543.8,209.1,353.5,665,1726.5
1912,233.4,234.1,250.9,183.4,134.5,87.8,63.4,55.9,85.6,126.2,151.1,192.6,568.8,207.1,362.9,650.6,1799
1913,229.2,228.7,232.1,188.3,139.2,84.2,66.8,59.7,84,117.4,161,192.7,559.6,210.7,362.4,660.2,1783.3
1914,267.3,200.1,208.9,172,117.7,91.1,69.4,63.6,70.3,122.7,137.7,197.5,498.6,224,330.8,565.6,1718.4
1915,199.1,168.9,209.9,162.1,119.8,83.9,62.9,56.9,67.8,115.9,139.3,216.5,491.7,203.7,322.9,661.7,1603
1916,215,230.1,256.1,195.6,133.4,85.8,58.7,50.3,64.4,124,174.9,227.1,585.1,194.8,363.3,726.5,1815.5
1917,254.8,244.6,242.3,182.2,143.8,87.2,64.4,54.4,71,119.8,163.4,212.7,568.2,206,354.2,633.5,1840.5
1918,226.2,194.6,233.3,189.2,143.5,80.8,74.3,58,75.3,139.2,162,205.8,566,213,376.5,679.4,1782.2
1919,237.9,235.8,221.2,156.6,120.7,89.4,64,65.3,79.9,121.7,144,183.1,498.4,218.6,345.7,602.8,1719.6
1920,215.6,204,254.1,197.5,138.4,88,76,63.4,89.5,122.5,146.9,204.6,589.9,227.4,358.9,652.3,1800.6
1921,221.4,226.2,229.8,186.7,140,93.8,74.9,53.3,80.3,143.3,183.5,203.5,556.5,222,407.1,657.5,1836.9
1922,226.1,227.9,237.1,188.8,137.4,90.4,66.8,64.6,73.2,126.4,174.3,195.4,563.3,221.9,373.8,668.5,1808.5
1923,227.3,245.7,228.8,184.3,137.7,89.2,62.3,55.6,87.6,123.5,142.7,169.8,550.7,207.1,353.8,670.3,1754.4
1924,257.9,242.6,289.4,201.3,157.6,99.6,61.5,45.3,68.8,134.1,158.2,244.8,648.3,206.4,361.1,660.6,1961.1
1925,223.9,191.9,225.5,174.3,127.4,81.4,70.9,50.5,86.2,126.6,144.7,206.9,527.2,202.8,357.5,697.5,1710.2
1926,238.4,252.2,269.4,199.8,134.1,76.9,60.6,53.3,70.2,110,149.3,204.6,603.3,190.8,329.5,651.9,1818.9
1927,208.7,238.5,228.6,181.8,136.9,90.7,62.8,61,76.8,121.7,142.6,195.3,547.4,214.6,341.1,660.5,1745.6
1928,253.4,211.9,241.9,182.5,115,73.9,67,49.9,81.9,106.8,164.8,208.5,539.4,190.8,353.5,685.9,1757.4
1929,242.2,235.3,252,186.1,153.3,86.6,64.1,58.3,76.2,109.1,146.9,234.9,591.4,208.9,332.3,653.7,1844.9
1930,211.3,207.6,239.9,167.5,116.6,84.8,56.4,48.6,70.7,123.9,161.6,208.4,524,189.7,356.2,636.4,1697.3
1931,194.1,233.9,261.5,178.9,128.5,76.4,57.2,53.7,77.7,131.8,160.3,167.9,568.8,187.2,369.7,614.3,1721.7
1932,243.7,202.7,211.8,141.1,114.6,81.3,62.9,55.4,76.4,112.7,149.9,174.7,467.5,199.6,339,594.1,1627.2
1933,221.6,197.9,238.3,209.8,107.9,78.4,65.9,49,75.7,131.9,173.3,210.8,556,193.3,381,665.7,1760.5
1934,216.6,238.3,230.9,201,146.1,86.5,61.2,59.9,78.9,129.5,155.4,225.8,578,207.6,363.9,685.4,1830.2
1935,237.7,221.8,257,208.7,152,88.2,62.9,59.7,74.4,117.3,156.1,193.7,617.8,210.9,347.8,668.4,1829.6
1936,217.9,256.8,200.4,174.2,114.7,74.2,54.6,51.8,72.5,118.6,152.9,184.5,489.3,180.6,344.1,624.1,1673.2
1937,227.3,212.4,231.6,198.4,153,86.4,62.7,55.1,73.6,130.7,148.6,207.3,582.9,204.2,352.9,638.4,1787
1938,220.2,210.9,227.9,180.4,129.6,82,64.4,55.1,67.9,126.9,151.6,209.3,537.8,201.5,346.5,658,1726.2
1939,229.7,219.1,232,185.7,135.3,78.5,83,62,83.4,115.3,162.9,186.8,553,223.4,361.6,673.9,1773.6
1940,255.7,231.4,248.7,175.7,145,88.3,60.6,63.7,85.2,117.9,156.5,193.8,569.3,212.5,359.6,622.5,1822.3
1941,211.8,216.9,257.2,167.8,102,81.5,62.2,58.7,82.5,129.8,156.7,191,527,202.4,369,628.8,1718.1
1942,212,225.8,218.2,170.2,123.3,84.9,56.3,52.8,92.2,129.1,159.3,208.1,511.7,194,380.7,658.7,1732.3
1943,254.8,195.8,249.7,180.7,115.9,80.7,62.9,53.5,70.6,122.1,175.7,217.4,546.3,197.1,368.4,657.8,1779.8
1944,216.8,223.6,220.5,197.6,122.2,81.5,63,51.4,80,120.1,160,237.1,540.3,195.9,360.1,716.9,1773.9
1945,240.8,239,254.6,209.8,146.4,85.8,72.6,42.6,74.3,135.9,170.2,214.4,610.8,201,380.5,658,1886.5
1946,233.2,210.3,222.4,168.1,141.4,79.3,68.4,52.7,70.3,105.7,175.4,176.6,531.9,200.4,351.4,643.4,1703.8
