"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","MAM","JJA","SON","DJF","ANN"
1901,90.1,102.2,150.7,209.3,278.1,255.6,311.9,328.7,229.7,287.9,235.5,127.9,638.1,896.2,753.1,362.5,2607.6
1902,137.7,96.9,188.2,230.3,261.2,253.5,226.9,225.7,225,233.2,197.8,119.1,679.7,706.1,655.9,317.1,2395.5
1903,99.7,98.3,136.2,230.2,277.9,336.1,225.5,316.4,223.1,225.6,214.8,148.2,644.3,878,663.5,371.7,2532.1
1904,111,112.5,188.7,270.6,304,250.3,263.9,228.5,219.1,261.9,169.1,114.4,763.2,742.7,650.1,313.8,2493.9
1905,111.7,87.7,141.7,239.1,285.6,272.8,248.4,211.4,273,257.1,230.7,163.4,666.5,732.6,760.9,361.4,2522.7
1906,90,108.1,146.9,271.4,297.3,309.2,286.7,238.4,195.2,252,192.1,130.3,715.6,834.3,639.2,354.3,2517.5
1907,100.1,124,213.6,274.4,284.7,294.4,316.5,238.2,248,246.4,191.1,131.8,772.7,849.1,685.5,357.4,2663.1
1908,122.4,103.2,175.3,228.8,254.1,257.8,278.3,263.9,255.5,316.3,203.6,156.2,658.2,800,775.5,394,2615.6
1909,102.8,135,125.9,241.2,321.1,303.1,346.9,265.4,223.6,246.2,189.4,124.8,688.2,915.4,659.2,366.5,2625.4
1910,136.4,105.2,213.7,223.5,374.2,313.7,267.3,231.2,250.4,293.7,184.5,154.5,811.4,812.2,728.7,382.5,2748.4
1911,100.6,127.4,157.9,271.2,291,299.3,274.6,212.2,190.3,240.1,201.6,127.3,720,786.1,632,330.6,2493.4
1912,102.3,100.9,141.4,227.2,265.4,261.9,291.7,339,232.6,267.7,226.4,152.5,634,892.6,726.7,344.3,2609
1913,94.7,97.2,153.8,288.1,299.7,277,240.7,219.3,346.8,268.6,218.6,140.8,741.6,737,834,332.5,2645.3
1914,96.1,95.6,127.9,268.5,242,253.7,240,236,198.4,269.1,232.9,148.4,638.5,729.7,700.5,382.5,2408.8
1915,108.5,125.6,128.3,248.1,303.6,325.6,300.5,339.3,218.2,271.9,193.2,124,680,965.3,683.2,332.5,2686.7
1916,107,101.5,178.1,247.6,243.5,349.3,285.8,265.4,217.7,276,198.6,130.4,669.2,900.5,692.3,366.9,2601
1917,127.8,108.7,168.8,284.9,363,296,306.2,311.9,227.8,229.4,222.9,143.5,816.7,914.1,680,356.8,2790.8
1918,107.1,106.2,167.3,287.4,306.5,259.8,257.4,202.8,210.6,263.4,245.4,109.3,761.2,720.1,719.4,312.6,2523.3
1919,110.4,92.9,139.5,239.2,274.8,274,303.9,260,276.7,213.5,198.2,145.7,653.5,837.8,688.5,345.3,2528.8
1920,91.1,108.6,145,205,350.7,275.2,354.3,237.2,253.2,297.3,160.2,130.6,700.7,866.7,710.7,373.6,2608.4
1921,123.2,119.8,233.7,254.6,361.5,302.5,325,228.3,261.2,294.9,176.6,158.5,849.8,855.8,732.7,368.2,2839.8
1922,89,120.6,222.1,205.6,292.5,373.5,252.4,211.3,217.8,240.6,204.3,152.1,720.2,837.2,662.6,323.2,2581.9
1923,83.6,87.5,149.5,212.8,282.3,269.6,272,254.9,188.1,231.3,163.6,140.1,644.6,796.6,583,302.5,2335.4
1924,82.8,79.6,138.3,195.2,262.8,307.6,310.3,217.7,241.4,272.6,266.3,155.2,596.3,835.5,780.3,378.9,2529.8
1925,102,121.7,205.9,299.6,248.5,267.3,295.5,262.4,255.6,202.4,200.2,112,754.1,825.2,658.2,271.8,2573.1
1926,74.3,85.6,129.5,171.2,262.6,336.8,275.5,266.3,210.7,283.6,206.4,155.1,563.4,878.5,700.7,394.2,2457.6
1927,124.4,114.8,167,241,317.6,300,321.2,262.3,268.1,241,212,127.7,725.5,883.5,721.1,349.3,2696.9
1928,103.4,118.3,173.8,236,307.6,301.8,311.9,244.8,241.4,221.7,256.5,162.5,717.4,858.6,719.6,320.8,2679.9
1929,83.4,74.9,171.5,258.3,328.1,288.8,281.3,205.9,227.7,237,173.2,106,758,776,637.9,327.2,2436.2
1930,113.9,107.3,151.7,235.1,233.6,326.4,274.5,214.5,190.7,266.2,165.9,109.3,620.4,815.3,622.9,297.5,2389
1931,92.3,95.9,141.6,212.4,301.7,334.3,340.5,210.1,242.1,254.7,225.7,148.8,655.7,885,722.5,396.4,2600.3
1932,131.2,116.4,121.7,204.5,276.3,277.2,275.6,248.8,241.3,266.8,211.8,152.2,602.6,801.6,720,339.6,2524.1
1933,117.1,70.3,176.2,248.2,326.1,297,237.7,262.7,223.7,230,249.4,190.8,750.5,797.4,703.2,418.7,2629.2
1934,105.3,122.7,140.8,177.6,308.6,294.8,321.9,222.3,214.8,291.6,239.1,132.4,627,839,745.5,371.3,2571.8
1935,119.9,119,178.4,224.9,297,300.3,316.3,289,232.2,244.4,284.1,99.2,700.3,905.6,760.8,265,2704.8
1936,85.3,80.5,171.9,191.8,305.7,316.5,270,210.4,201.1,266.2,163.6,153.4,669.4,796.8,630.9,407.3,2416.3
1937,149.8,104.1,183.7,193.2,292.7,262,262,236,281,225.8,212.2,199,669.6,759.9,719,457,2601.5
1938,139.8,118.2,177.8,333.8,338.8,275.3,300.3,287.6,188.4,278.8,249.5,183.6,850.4,863.2,716.8,343,2871.9
1939,87.8,71.6,151.3,210.4,262.9,293.1,264,219.3,214.2,273.1,194.1,133.5,624.6,776.5,681.4,340.6,2375.4
1940,106,101.1,106.6,194.3,260.6,270.8,217.3,211.8,242.9,260.4,257.1,137.8,561.5,700,760.4,363.7,2366.8
1941,113.4,112.5,107,197,223.8,235.8,216.1,216.5,183.5,191.3,163.7,108.9,527.9,668.4,538.5,276.6,2069.5
1942,73.4,94.3,136.9,216,282.3,263.5,242,217.7,207,238.7,186.2,114.2,635.3,723.2,631.9,413.4,2272.3
1943,170.6,128.6,146.7,247.7,267.2,303.4,241.9,294.3,158.4,277.2,204.3,127.8,661.7,839.6,639.8,314.5,2568.1
1944,91.6,95.1,140.6,198,324.9,340.8,212.9,223.3,212.7,255.5,179.7,123.3,663.4,777,647.8,291.8,2398.3
1945,90.2,78.3,120.4,249.8,348.2,219.6,253.3,240,184.6,246.2,240.8,186,718.4,712.9,671.6,417.4,2457.4
1946,133.6,97.8,141.4,239.3,269.8,216.5,229.5,216.1,177.5,242.4,201,115,650.5,662.1,620.8,321.9,2279.8
1947,107.8,99.2,114.1,180.6,270,315.7,357,232.3,262.1,326.3,159,104.8,564.8,905,747.3,251.5,2528.8
1948,67.9,78.8,151.3,283.6,272.3,250.3,238.5,203.1,245.1,206.9,176.2,115,707.1,691.9,628.2,317.5,2289
1949,107.3,95.1,158.5,214.8,287.5,322.7,308.1,273.8,234.3,272.5,172.9,102.4,660.9,904.6,679.6,392.4,2550
1950,124.9,165.1,173.9,243.4,359.3,388.4,276.5,277.4,227.9,265.5,202.2,163.9,776.6,942.2,695.6,445.4,2868.4
1951,124.8,156.7,163.9,218,300.9,279.3,276.2,227.8,186.2,229.4,200.2,139.9,682.7,783.3,615.8,340.7,2503.2
1952,114.9,85.9,132.4,282.9,318.6,275.8,286.9,210.3,205.2,205.9,234.2,150.6,733.9,773,645.3,372,2503.6
1953,111.6,109.7,160.6,217.7,307.7,280.8,209,153.6,278.7,274.6,216.2,136.8,686,643.4,769.5,326.6,2457.1
1954,96.4,93.4,148.2,232,274.5,338.1,299.6,232,196.1,325.6,214.7,157.4,654.8,869.6,736.4,402.5,2607.9
1955,104.6,140.5,196.8,251.7,268.3,357.2,363.4,226.2,278.5,296.7,202.9,181.4,716.9,946.8,778,479.2,2868.3
1956,154.2,143.6,185.5,199.7,297.2,322.8,266.7,227.8,246.6,323.7,179.1,176.5,682.4,817.3,749.4,352.2,2723.5
1957,77.5,98.2,155.7,224.1,399,237.9,210.3,195.4,194.4,248.1,165.6,106.9,778.8,643.7,608.1,271,2313.1
1958,87.4,76.8,122,218.6,276.4,236,210.6,231.9,143.2,202.6,157.1,129.8,617,678.5,502.9,266,2092.3
1959,71.2,65,111.6,192.2,409.1,349.1,281,252.9,196.8,236,193.3,140,712.9,883,626.1,388.2,2498.2
1960,120.4,127.8,128,222.9,269.1,255.4,313.9,299.8,210.9,246.7,173.8,168,620,869.1,631.5,328.1,2536.7
1961,95,65.1,173.7,229.3,171.9,286.4,332.2,199.1,198.1,288.7,252.5,136.1,574.9,817.6,739.2,322.2,2427.9
1962,92.2,93.9,200.6,206,373.4,346.7,242.4,270.2,219.7,224.5,197.1,121,780,859.3,641.4,367.6,2587.7
1963,93.5,153.2,157.1,290.4,364.4,271.9,294.7,232.4,188.9,205.7,229,110.5,811.9,798.9,623.7,262.1,2591.6
1964,55.2,96.4,98.7,260.4,263.7,399.6,360.9,236.8,226.6,244.1,180.6,123.7,622.8,997.3,651.3,296.1,2546.7
1965,100.1,72.3,118.4,253.4,318.8,197.3,210.5,224.5,223,239.9,246.4,123.3,690.6,632.2,709.3,281.1,2327.9
1966,80.5,77.3,148.3,186.8,264.7,336,244.6,254.4,219.9,259.3,241.6,194.7,599.8,835.1,720.8,393.5,2508.1
1967,90.1,108.7,145.4,244.1,348.1,339.2,318.3,171.5,208,221.1,179.8,105.3,737.5,829,608.9,305.6,2479.5
1968,99.4,101,129.1,298.5,230.2,361.8,245.6,243.8,259.9,245.7,201.6,95.6,657.9,851.2,707.2,329.6,2512.2
1969,122,111.9,124.2,299.3,258.7,275.5,181.3,235,241.9,331.4,202.4,117.9,682.2,691.8,775.7,379.5,2501.5
1970,127.6,134,139.4,232.1,323.4,284.8,297.8,250.9,252.4,280.9,230.1,143.2,694.8,833.5,763.4,531.5,2696.5
1971,214.1,174.2,258.2,217.9,367.9,282.9,257.9,272.4,238.5,224.5,196.8,120,844,813.2,659.7,401.2,2825.2
1972,172.7,108.5,193.7,281.3,297,290.8,234.4,255.5,196.2,214.5,222.3,111.5,772,780.7,633,251.6,2578.2
1973,63.7,76.4,123.5,189.2,260.7,300,361.5,338.7,307.1,312.2,261.5,171.3,573.4,1000.2,880.9,457.1,2766
1974,125.3,160.4,171.9,222.9,258.3,271.1,237,235.4,279.6,254.5,217.8,106.4,653.1,743.5,751.8,318.6,2540.5
1975,80.7,131.6,188.3,227.9,316,307.5,390.7,285,223.6,332,219.9,204.9,732.2,983.3,775.6,417.2,2908.2
1976,106.8,105.5,202.4,250.9,302.2,265,229.7,179.8,194.4,289.8,157.1,124.1,755.6,674.5,641.4,252.1,2407.8
1977,57.1,70.9,154.7,214.1,245.4,309.3,248.3,245.2,256.1,242,193.5,115.1,614.2,802.7,691.6,270.1,2351.7
1978,71.5,83.4,176.2,308.3,295.6,274.3,266.2,210,247.7,227.1,184.3,153.8,780.1,750.5,659.1,300.2,2498.4
1979,76.4,70.1,170.9,290.1,291.1,339.2,253.5,304.2,248.1,275,240.5,131.7,752.1,896.9,763.7,343.3,2690.8
1980,106.9,104.7,119.1,204.7,233.1,310.3,222.9,210.5,244.2,235.3,164.2,137.1,556.8,743.6,643.8,354.4,2293
1981,65.3,152,162.9,324.2,441.2,336.3,233.1,306.3,242.2,286.1,214.9,172.3,928.3,875.6,743.2,447.1,2936.8
1982,141.2,133.5,178.2,346.9,317.5,233.8,255.5,180,228.6,257.4,178.6,134.9,842.7,669.4,664.6,318.9,2586.3
1983,76.7,107.4,160.9,311.3,285.2,214.7,243.7,222.2,184.7,238.7,148.7,169.2,757.4,680.5,572,471.1,2363.2
1984,160.3,141.7,129.1,244.3,283.2,315.1,271,319.5,327.6,249.8,207.6,129.8,656.6,905.5,785.1,270.1,2778.9
1985,85.3,55,142.4,196.9,268.2,245.5,256.9,310.4,267.9,256.9,201.1,120.8,607.5,812.7,726,374.2,2407.2
1986,108.9,144.6,150.3,223.3,333.4,305.2,233,210.9,245.7,343.9,194.8,85.3,706.9,749.1,784.4,252.4,2579.2
